,Name,Author,num_page,Language,User_rating,rating_num,Reviews,Genre_1,G_1_id,fiction,non_fiction,Genre_2,Genre_3,Year,Publisher
74,Slaughterhouse-Five,Kurt Vonnegut Jr.,275,English,4.08,1221885,30478,Classics,4,1,0,Fiction,Science Fiction,1999,Dial Press
75,The Giver,Lois Lowry,208,English,4.13,2024533,69499,Young Adult,2,1,0,Fiction,Classics,2006,Ember
76,Dune,Frank Herbert,688,English,4.24,989635,39497,Science Fiction,7,1,0,Fiction,Fantasy,2019,Ace Books
77,Little Women,Louisa May Alcott,449,English,4.11,1865590,36449,Classics,4,1,0,Fiction,Historical,2004,Signet Classics
78,Harry Potter and the Deathly Hallows,J.K. Rowling,759,English,4.61,3137238,72067,Fantasy,0,1,0,Young Adult,Fiction,2007,Arthur A. Levine Books
79,1984,George Orwell,298,English,4.19,3638119,83407,Classics,4,1,0,Fiction,Science Fiction,2013,Houghton Mifflin Harcourt
80,Catch-22,Joseph Heller,453,English,3.98,769560,19938,Classics,4,1,0,Fiction,Historical,2004,Simon & Schuster
81,The Stand,Stephen King,1152,English,4.33,681695,24143,Horror,9,1,0,Fiction,Fantasy,1990,Doubleday Books
82,The Pillars of the Earth,Ken Follett,976,English,4.32,694775,33485,Historical,6,1,0,Historical Fiction,Fiction,2002,NAL Trade
83,The Adventures of Sherlock Holmes,Arthur Conan Doyle,389,English,4.29,269928,7583,Classics,4,1,0,Mystery,Fiction,1998,Oxford University Press
84,Watership Down,Richard  Adams,478,English,4.06,456516,14932,Classics,4,1,0,Fiction,Fantasy,1975,Avon Books
85,The Bell Jar,Sylvia Plath,294,English,4.02,687298,29764,Classics,4,1,0,Fiction,Feminism,2006,Harper Perennial Modern Classics
86,Great Expectations,Charles Dickens,544,English,3.79,709213,18003,Classics,4,1,0,Fiction,Literature,1998,Oxford University Press
87,Matilda,Roald Dahl,240,English,4.32,760674,18790,Childrens,14,1,0,Fiction,Classics,1998,Puffin Books
88,Anna Karenina,Leo Tolstoy,964,English,4.07,733832,27732,Classics,4,1,0,Fiction,Romance,2012,Vintage
89,The Fellowship of the Ring,J.R.R. Tolkien,527,English,4.37,2530022,27390,Fantasy,0,1,0,Classics,Fiction,1973,Ballantine Books
90,One Flew Over the Cuckoo's Nest,Ken Kesey,325,English,4.19,676404,12569,Classics,4,1,0,Fiction,Psychology,1963,Signet
91,Outlander,Diana Gabaldon,850,English,4.23,917280,48453,Historical,6,1,0,Historical Fiction,Romance,2005,Dell Publishing Company
92,The Girl with the Dragon Tattoo,Stieg Larsson,480,English,4.15,2846697,71420,Fiction,1,1,0,Mystery,Thriller,2008,Knopf
93,Rebecca,Daphne du Maurier,449,English,4.23,527964,29950,Classics,4,1,0,Fiction,Mystery,2013,"Little, Brown and Company"
94,My Sister's Keeper,Jodi Picoult,423,English,4.08,1117226,34519,Fiction,1,1,0,Contemporary,Womens Fiction,2005,Washington Square Press
95,The Color Purple,Alice Walker,304,English,4.24,577812,18121,Classics,4,1,0,Fiction,Historical,2019,Penguin Books
96,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,435,English,4.57,3264845,64250,Fantasy,0,1,0,Young Adult,Fiction,2004,Scholastic Inc.
97,A Tree Grows in Brooklyn,Betty  Smith,496,English,4.28,415323,22590,Classics,4,1,0,Fiction,Historical,2006,HarperCollins Publishers
98,The Brothers Karamazov,Fyodor Dostoevsky,796,English,4.33,273457,13029,Classics,4,1,0,Fiction,Cultural,2002,"Farrar, Straus and Giroux"
99,A Clockwork Orange,Anthony Burgess,213,English,3.99,655533,15790,Classics,4,1,0,Fiction,Science Fiction,2019,W. W. Norton & Company
100,The Road,Cormac McCarthy,241,English,3.97,785787,48844,Fiction,1,1,0,Science Fiction,Science Fiction,2006,Alfred A. Knopf
101,Angela's Ashes,Frank McCourt,452,English,4.12,579542,12698,Nonfiction,5,0,1,Autobiography,Memoir,2005,Harper Perennial
102,Vampire Academy,Richelle Mead,332,English,4.11,602868,23488,Young Adult,2,1,0,Fantasy,Paranormal,2007,Razorbill
103,Siddhartha,Hermann Hesse,152,English,4.04,650820,20474,Classics,4,1,0,Fiction,Philosophy,1981,Bantam Books
104,The Golden Compass,Philip Pullman,399,English,4,1388930,24584,Fantasy,0,1,0,Young Adult,Fiction,1996,Alfred A. Knopf Books for Young Readers
105,The Poisonwood Bible,Barbara Kingsolver,546,English,4.07,690244,24368,Fiction,1,1,0,Historical,Historical Fiction,2005,Harper Perennial Modern Classics
106,Don Quixote,Miguel de Cervantes Saavedra,1023,English,3.88,234534,9404,Classics,4,1,0,Fiction,Literature,2003,Penguin Books
107,Atlas Shrugged,Ayn Rand,1078,English,3.69,370775,18388,Fiction,1,1,0,Classics,Philosophy,1999,Plume
108,The Old Man and the Sea,Ernest Hemingway,96,English,3.79,939716,29368,Classics,4,1,0,Fiction,Literature,1996,Scribner
109,The Notebook,Nicholas Sparks,227,English,4.12,1451608,21378,Romance,3,1,0,Fiction,Womens Fiction,2000,Grand Central Publishing
110,Winnie-the-Pooh,A.A. Milne,161,English,4.31,299901,5446,Classics,4,1,0,Childrens,Fiction,2001,Dutton Juvenile
111,The Complete Stories and Poems,Edgar Allan Poe,821,English,4.37,232347,1946,Classics,4,1,0,Poetry,Horror,1984,"Doubleday & Company, Inc."
112,Interview with the Vampire,Anne Rice,342,English,4,523912,11549,Horror,9,1,0,Fantasy,Fiction,2004,Ballantine Books
113,A Prayer for Owen Meany,John Irving,637,English,4.23,298234,14684,Fiction,1,1,0,Classics,Contemporary,1990,Black Swan
114,Harry Potter and the Goblet of Fire,J.K. Rowling,734,English,4.56,2935527,53555,Fantasy,0,1,0,Young Adult,Fiction,2002,Scholastic
115,"Moby-Dick or, the Whale",Herman Melville,654,English,3.52,506793,17743,Classics,4,1,0,Fiction,Literature,2003,Penguin Classics
116,Harry Potter and the Half-Blood Prince,J.K. Rowling,652,English,4.57,2738010,45229,Fantasy,0,1,0,Young Adult,Fiction,2006,Scholastic Inc.
117,Clockwork Angel,Cassandra Clare,479,English,4.3,757214,35802,Fantasy,0,1,0,Young Adult,Romance,2010,Margaret K. McElderry Books
118,The Secret Life of Bees,Sue Monk Kidd,302,English,4.07,1185893,32081,Fiction,1,1,0,Historical,Historical Fiction,2003,Penguin Books
119,The Red Tent,Anita Diamant,324,English,4.18,551049,20103,Historical,6,1,0,Historical Fiction,Fiction,1997,St. Martin's Press
120,And Then There Were None,Agatha Christie,264,English,4.27,1005317,42806,Mystery,8,1,0,Classics,Fiction,2004,St. Martin's Press
121,The Stranger,Albert Camus,123,English,4,819172,28618,Classics,4,1,0,Fiction,Philosophy,1989,Vintage International
122,The Shining,Stephen King,659,English,4.24,1258113,29361,Horror,9,1,0,Fiction,Thriller,1980,New English Library (Hodder & Stoughton)
123,The Master and Margarita,Mikhail Bulgakov,372,English,4.29,279167,14016,Classics,4,1,0,Fiction,Cultural,1996,Vintage International
124,The Name of the Wind,Patrick Rothfuss,662,English,4.51,808772,46299,Fantasy,0,1,0,Fiction,Fantasy,2007,Penguin Group DAW
125,Middlesex,Jeffrey Eugenides,529,English,4.01,609227,24102,Fiction,1,1,0,Historical,Historical Fiction,2003,Picador USA
126,Eragon,Christopher Paolini,503,English,3.92,1565319,23764,Fantasy,0,1,0,Young Adult,Fiction,2005,Alfred A. Knopf
127,The Adventures of Tom Sawyer,Mark Twain,244,English,3.92,826949,11325,Classics,4,1,0,Fiction,Adventure,2006,Penguin Classics
128,Flowers for Algernon,Daniel Keyes,216,English,4.16,540771,22652,Fiction,1,1,0,Classics,Science Fiction,2006,Penguin Classics
129,Harry Potter and the Chamber of Secrets,J.K. Rowling,341,English,4.43,3123974,60995,Fantasy,0,1,0,Fiction,Young Adult,1999,Arthur A. Levine Books
130,The Metamorphosis,Franz Kafka,201,English,3.83,757060,22614,Classics,4,1,0,Fiction,Fantasy,1972,Bantam Classics
131,Charlie and the Chocolate Factory,Roald Dahl,176,English,4.14,742028,13428,Childrens,14,1,0,Fiction,Fantasy,2005,Puffin Books
132,Looking for Alaska,John Green,221,English,3.99,1284807,61780,Young Adult,2,1,0,Fiction,Contemporary,2006,Speak
133,The Curious Incident of the Dog in the Night-Time,Mark Haddon,226,English,3.89,1312490,47763,Fiction,1,1,0,Mystery,Young Adult,2004,Vintage
134,The Shadow of the Wind,Carlos Ruiz Zafón,487,English,4.27,536013,41172,Fiction,1,1,0,Historical,Historical Fiction,2005,Penguin Books
135,The Very Hungry Caterpillar,Eric Carle,26,English,4.29,442283,8802,Childrens,14,1,0,Picture Books,Childrens,1994,Puffin Books
136,On the Road,Jack Kerouac,307,English,3.62,375891,16351,Classics,4,1,0,Fiction,Travel,1976,Penguin Books
137,Tuesdays with Morrie,Mitch Albom,210,English,4.12,862303,29554,Nonfiction,5,0,1,Autobiography,Memoir,2000,Warner
138,The Unbearable Lightness of Being,Milan Kundera,320,English,4.1,383150,17878,Fiction,1,1,0,Classics,Philosophy,2009,Harper Perennial
139,The Name of the Rose,Umberto Eco,536,English,4.13,328715,10239,Fiction,1,1,0,Historical,Historical Fiction,1994,Harvest Books
140,Where the Red Fern Grows,Wilson Rawls,272,English,4.08,369609,12070,Classics,4,1,0,Fiction,Young Adult,2000,Yearling
141,The Godfather,Mario Puzo,448,English,4.36,371681,9862,Fiction,1,1,0,Classics,Mystery,2002,NAL
142,The Count of Monte Cristo,Alexandre Dumas,1276,English,4.26,809044,24432,Classics,4,1,0,Fiction,Historical,2003,Penguin Classics
143,The Scarlet Letter,Nathaniel Hawthorne,279,English,3.42,764016,16182,Classics,4,1,0,Fiction,Historical,2003,Penguin Books
144,In Cold Blood,Truman Capote,343,English,4.06,589829,18842,Nonfiction,5,0,1,Classics,Crime,1994,Vintage
145,The Last Olympian,Rick Riordan,381,English,4.51,784352,27931,Fantasy,0,1,0,Young Adult,Fantasy,2009,Disney ● Hyperion Books
146,"The Lion, the Witch and the Wardrobe",C.S. Lewis,206,English,4.22,2369186,25381,Fantasy,0,1,0,Classics,Fiction,2005,HarperCollins Publishers
147,Fight Club,Chuck Palahniuk,224,English,4.18,538856,16271,Fiction,1,1,0,Classics,Contemporary,2018,W. W. Norton  Company
148,The Five People You Meet in Heaven,Mitch Albom,196,English,3.95,627287,22641,Fiction,1,1,0,Inspirational,Contemporary,2003,Hyperion
149,It,Stephen King,1116,English,4.24,910291,28378,Horror,9,1,0,Fiction,Thriller,1987,New English Library
150,"The Hobbit, or There and Back Again",J.R.R. Tolkien,366,English,4.28,3241338,54669,Fantasy,0,1,0,Classics,Fiction,2002,Houghton Mifflin
151,Perfume: The Story of a Murderer,Patrick Süskind,263,English,4.02,385425,16975,Fiction,1,1,0,Classics,Historical,1987,Penguin Books
152,"Hush, Hush",Becca Fitzpatrick,391,English,3.94,641912,26713,Young Adult,2,1,0,Fantasy,Romance,2009,Simon & Schuster BFYR
153,Holes,Louis Sachar,233,English,3.98,1062130,22404,Young Adult,2,1,0,Fiction,Childrens,2000,Scholastic
154,The Cat in the Hat,Dr. Seuss,61,English,4.16,482381,6338,Childrens,14,1,0,Childrens,Picture Books,1985,Random House Books for Young Readers
155,American Gods,Neil Gaiman,635,English,4.1,830091,41405,Fantasy,0,1,0,Fiction,Fantasy,2011,William Morrow
156,Lonesome Dove,Larry McMurtry,960,English,4.48,166004,8768,Fiction,1,1,0,Historical,Historical Fiction,1999,Pocket Books
157,Watchmen,Alan Moore,416,English,4.37,513901,15282,Sequential Art,10,1,0,Graphic Novels,Sequential Art,2005,DC Comics
158,The Divine Comedy,Dante Alighieri,798,English,4.04,135837,4525,Poetry,15,1,0,Fiction,Classics,1995,Everyman's Library
159,The Addiction Manifesto,Jerry Weaver,178,English,4.98,1011,34,Nonfiction,5,1,0,Fiction,Classics,2021,Palmetto Publishing
160,The Little House Collection,Laura Ingalls Wilder,2700,English,4.34,147540,2316,Classics,4,1,0,Historical,Historical Fiction,2003,Avon Books
161,Peter Pan,J.M. Barrie,176,English,4.02,315423,12770,Classics,4,1,0,Fantasy,Fiction,2003,Henry Holt and Co.
162,All Quiet on the Western Front,Erich Maria Remarque,296,English,4,382510,11964,Classics,4,1,0,Fiction,Historical,1987,Ballantine Books
163,Love in the Time of Cholera,Gabriel García Márquez,348,English,3.92,450046,22810,Fiction,1,1,0,Classics,Historical,2003,Vintage International
164,Insurgent,Veronica Roth,525,English,4,1302491,60216,Young Adult,2,1,0,Science Fiction,Dystopia,2012,HarperCollins Children's Books
165,The Compleat Works of Wllm Shkspr (abridged),Adam Long,137,English,4.45,8623,135,Plays,19,1,0,Classics,Humor,1994,Applause Books
166,The Thorn Birds,Colleen McCullough,692,English,4.22,333454,6601,Fiction,1,1,0,Historical,Historical Fiction,2002,Avon Books
167,A Walk to Remember,Nicholas Sparks,215,English,4.18,729304,14117,Romance,3,1,0,Fiction,Womens Fiction,2000,Grand Central Publishing
168,Shadow Kiss,Richelle Mead,443,English,4.32,352870,11880,Young Adult,2,1,0,Paranormal,Vampires,2008,Razorbill
169,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,491,English,4.24,618051,30946,Fantasy,0,1,0,Fiction,Humor,2006,William Morrow
170,How the Grinch Stole Christmas!,Dr. Seuss,64,English,4.34,368417,3772,Childrens,14,1,0,Childrens,Picture Books,2004,Harper Collins Children's Books
171,The Importance of Being Earnest,Oscar Wilde,76,English,4.17,327661,10562,Classics,4,1,0,Plays,Fiction,2005,Prestwick House
172,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,815,English,4.35,307538,5641,Science Fiction,7,1,0,Fiction,Humor,2002,Del Rey Books
173,Their Eyes Were Watching God,Zora Neale Hurston,219,English,3.96,294104,16024,Academic,-1,0,1,School,Cultural,2006,Amistad
174,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,368,English,3.59,1591244,55360,Nonfiction,5,0,1,Autobiography,Memoir,2007,Riverhead Books
175,Atonement,Ian McEwan,351,English,3.91,474422,18705,Fiction,1,1,0,Historical,Historical Fiction,2003,Anchor Books
176,The Wonderful Wizard of Oz,L. Frank Baum,154,English,3.97,411282,14164,Classics,4,1,0,Fantasy,Fiction,1995,Penguin
177,The Three Musketeers,Alexandre Dumas,625,English,4.08,293890,7631,Classics,4,1,0,Fiction,Historical,2001,Modern Library
178,Clockwork Princess,Cassandra Clare,567,English,4.54,397091,34163,Fantasy,0,1,0,Young Adult,Romance,2013,Walker Books Ltd
179,Frostbite,Richelle Mead,327,English,4.24,339230,11975,Young Adult,2,1,0,Fantasy,Paranormal,2008,Razorbill
180,Goodnight Moon,Margaret Wise Brown,32,English,4.28,335302,6334,Childrens,14,1,0,Childrens,Picture Books,2007,HarperCollins
181,The Battle of the Labyrinth,Rick Riordan,361,English,4.39,857867,23225,Fantasy,0,1,0,Young Adult,Fantasy,2008,Hyperion Books for Children
182,The Lorax,Dr. Seuss,72,English,4.32,313495,4488,Childrens,14,1,0,Childrens,Picture Books,1998,Random House Books for Young Readers
183,The Titan's Curse,Rick Riordan,320,English,4.34,810304,25404,Fantasy,0,1,0,Young Adult,Fantasy,2007,Puffin Books
184,A Midsummer Night's Dream,William Shakespeare,240,English,3.95,478805,9247,Classics,4,1,0,Plays,Fiction,2016,Simon & Schuster Paperbacks
185,Blood Promise,Richelle Mead,503,English,4.29,302645,10217,Young Adult,2,1,0,Paranormal,Vampires,2009,Razorbill
186,Tess of the D'Urbervilles,Thomas Hardy,518,English,3.81,254394,9657,Classics,4,1,0,Fiction,Romance,2003,Penguin Classics
187,The Sea of Monsters,Rick Riordan,279,English,4.24,884937,32148,Fantasy,0,1,0,Young Adult,Fantasy,2006,Hyperion Books
188,Heart of Darkness,Joseph Conrad,188,English,3.44,455185,15475,Classics,4,1,0,Fiction,Literature,2003,Green Integer
189,The Good Earth,Pearl S. Buck,418,English,3.99,234083,10504,Classics,4,1,0,Fiction,Historical,2009,Howard Publishing Co
190,The Prophet,Kahlil Gibran,127,English,4.22,262249,11233,Poetry,15,1,0,Philosophy,Classics,2010,Rupa & Co
191,The Maze Runner,James Dashner,384,English,4.03,1229661,58869,Young Adult,2,1,0,Science Fiction,Dystopia,2009,Delacorte Press
192,The Mists of Avalon,Marion Zimmer Bradley,1009,English,4.11,202000,7015,Fantasy,0,1,0,Fiction,Historical,2001,Ballantine Books
193,The Hunger Games Trilogy Boxset,Suzanne Collins,1155,English,4.48,199636,7012,Young Adult,2,1,0,Fiction,Fantasy,2010,Scholastic Press
194,The Call of the Wild,Jack London,172,English,3.88,375557,12557,Classics,4,1,0,Fiction,Adventure,2001,Scholastic
195,Bridge to Terabithia,Katherine Paterson,190,English,4.01,491432,13634,Fiction,1,1,0,Young Adult,Classics,2009,HarperCollins
196,Alice in Wonderland,Jane Carruth,92,English,4.02,389086,5391,Classics,4,1,0,Fantasy,Fiction,2004,Gramercy Books
197,The Joy Luck Club,Amy Tan,352,English,3.94,630061,10396,Fiction,1,1,0,Historical,Historical Fiction,2006,Penguin Books
198,Madame Bovary,Gustave Flaubert,329,French,3.69,282934,12242,Classics,4,1,0,Fiction,Cultural,2004,Oxford University Press
199,Jonathan Livingston Seagull,Richard Bach,112,English,3.85,223115,9008,Fiction,1,1,0,Classics,Philosophy,2006,Scribner
200,The Phantom Tollbooth,Norton Juster,248,English,4.16,271567,11423,Fantasy,0,1,0,Fiction,Childrens,1996,Random House Bullseye Books
201,Oliver Twist,Charles Dickens,608,English,3.87,348188,8596,Classics,4,1,0,Fiction,Historical,2003,Penguin Books
